modell,språk,CER,WER,aligned semantic distance,semantic distance,semantic distance (sBERT),dialect
openai-whisper-large,nno,0.21241399979151465,0.42136293787436885,0.40571872431590744,0.16476643590866832,0.19257586664672943,øst
openai-whisper-large,nob,0.10870358127977751,0.19175876048203477,0.24478290406582884,0.0631309731701832,0.10050549921921197,nord
openai-whisper-large,nob,0.12424418683295683,0.22525126453392894,0.32013187116159586,0.09056154713643666,0.15597860029239638,sørvest
openai-whisper-large,nob,0.11738038414640502,0.21372805868483102,0.28808411621014707,0.07790417591805303,0.13063923575641068,trøndersk
openai-whisper-large,nob,0.12686739404112463,0.22209555394341382,0.32121765760883947,0.08930213482902727,0.14786853158084637,vest
openai-whisper-large,nob,0.14568951415017176,0.23168702314044398,0.3350430576064952,0.10261674938524643,0.16309027720136066,øst
openai-whisper-large-turbo,nno,0.1742004361257496,0.3940301819795828,0.3576651818293041,0.13940328130355242,0.14170364702323676,nord
openai-whisper-large-turbo,nno,0.1867001828153565,0.3972431900229734,0.4501714664769435,0.17048737907496284,0.20617165812354646,sørvest
openai-whisper-large-turbo,nno,0.1999439613125506,0.42660237933022377,0.44263726294290934,0.1605352805210994,0.1767307484127567,trøndersk
openai-whisper-large-turbo,nno,0.20009388202159287,0.42883022774327123,0.5143892130661126,0.17374250098112767,0.2023091196643064,vest
openai-whisper-large-turbo,nno,0.23422026477639946,0.45168877599021545,0.4844651364218023,0.18990152732906576,0.20757803175696746,øst
openai-whisper-large-turbo,nob,0.11041329473180295,0.19903370911312268,0.2772043334320602,0.07528215172252414,0.11581130744306257,nord
openai-whisper-large-turbo,nob,0.12831577096324753,0.23247717269920515,0.3747524416603027,0.11165567304089759,0.17646813879870588,sørvest
openai-whisper-large-turbo,nob,0.12336247954727836,0.2233691380665444,0.3438637160470503,0.09168082766416594,0.14581365131303026,trøndersk
openai-whisper-large-turbo,nob,0.12840956777171633,0.2377966628666183,0.36920950559268817,0.10552813587811648,0.16632651958272765,vest
openai-whisper-large-turbo,nob,0.15775560281367576,0.23872021099563565,0.40356049106297914,0.12645072491916418,0.18486045671688575,øst
